Ticker,Current Price,buy at,Sell at,stop loss,Quantity,API Status,Balance,Bought at,Spare 2,Last update,Spare 1
FUBO,5.060,5.161,6.072,4.048,0,Buy,0,0.000,0,2025-02-08,0.000
ACHR,11.450,11.679,13.740,9.160,0,Buy,0,0.000,0,2025-02-08,0.000
MPLN,12.450,12.699,14.940,9.960,0,Buy,0,0.000,0,2025-02-08,0.000
DNA,11.650,11.883,13.980,9.320,0,Buy,0,0.000,0,2025-02-08,0.000
NRGV,2.470,2.519,2.964,1.976,0,Buy,0,0.000,0,2025-02-08,0.000
SUPV,17.640,17.993,21.168,14.112,0,Buy,0,0.000,0,2025-02-08,0.000
SEDG,16.290,16.616,19.548,13.032,0,Buy,0,0.000,0,2025-02-08,0.000
NEUE,7.350,7.497,8.820,5.880,0,Buy,0,0.000,0,2025-02-08,0.000
DAN,11.630,11.863,13.956,9.304,0,Buy,0,0.000,0,2025-02-08,0.000
VSAT,9.900,10.098,11.880,7.920,0,Buy,0,0.000,0,2025-02-08,0.000
PL,4.360,4.447,5.232,3.488,0,Buy,0,0.000,0,2025-02-08,0.000
MEI,12.410,12.658,14.892,9.928,0,Buy,0,0.000,0,2025-02-08,0.000
EQC,1.860,1.897,2.232,1.488,0,Buy,0,0.000,0,2025-02-08,0.000
LOCL,2.250,2.295,2.700,1.800,0,Buy,0,0.000,0,2025-02-08,0.000
SQNS,3.620,3.692,4.344,2.896,0,Buy,0,0.000,0,2025-02-08,0.000
IRWD,4.500,4.590,5.400,3.600,0,Buy,0,0.000,0,2025-02-08,0.000
JBLU,7.690,7.844,9.228,6.152,0,Buy,0,0.000,0,2025-02-08,0.000
PUMP,9.810,10.006,11.772,7.848,0,Buy,0,0.000,0,2025-02-08,0.000
PGNY,17.430,17.779,20.916,13.944,0,Buy,0,0.000,0,2025-02-08,0.000
ADEA,14.280,14.566,17.136,11.424,0,Buy,0,0.000,0,2025-02-08,0.000
SES,2.080,2.122,2.496,1.664,0,Buy,0,0.000,0,2025-02-08,0.000
URBN,58.440,59.609,70.128,46.752,0,Buy,0,0.000,0,2025-02-08,0.000
EMBC,20.930,21.349,25.116,16.744,0,Buy,0,0.000,0,2025-02-08,0.000
PDCO,30.900,31.518,37.080,24.720,0,Buy,0,0.000,0,2025-02-08,0.000
SEI,31.280,31.906,37.536,25.024,0,Buy,0,0.000,0,2025-02-08,0.000
FOA,30.020,30.620,36.024,24.016,0,Buy,0,0.000,0,2025-02-08,0.000
MLAB,144.190,147.074,173.028,115.352,0,Buy,0,0.000,0,2025-02-08,0.000
AVGO,236.410,241.138,283.692,189.128,0,Buy,0,0.000,0,2025-02-08,0.000
AVGO,236.410,241.138,283.692,189.128,0,Buy,0,0.000,0,2025-02-08,0.000
SMCI,36.450,37.179,43.740,29.160,0,Buy,0,0.000,0,2025-02-08,0.000
